hau_Latn	sentiment
Wani fim mai cike da tururi wanda ya faru a kan wani darasi na tarihi mai ban tsoro wanda ya tunatar da mu cewa a Najeriya, da yawan abubuwan da suka canja, da yawa suna zama mahaukaci.	positive
An yi aiki mai yawa kuma an yi bincike sosai don yin wannan. Irin wannan babban adadin, ingancinsa yana fita dabam da sauƙi kuma a fili.	positive
My Village People fim ne wanda zai sa ka rasa horo a gida yayin kallon shi. Amma yana da wani nau'i na hanyar. Nollywood gaba ɗaya bai yi aiki mai kyau ba na sanya abin da ya fi na halitta sexy da kuma jan hankali. My Village People ya cimma shi ba tare da ƙoƙari ba, kuma ya cancanci yabo mai yawa.	positive
Labarin ba wani abu bane da ba mu gani ba kafin amma an fada shi daga hangen nesa na Najeriya, abin dariya ne, mai ban mamaki kuma tattaunawa tana da kyau idan aka kwatanta da sauran da ake dasu a kasuwar Najeriya .. . . Na ji daɗin fim ɗin sosai, tabbas zan ba da shawarar (ga Naija na mutane!).	positive
shekarun 1980, masu shan kwayoyi, mata masu kyau na baki... ina cikin sama	positive
Aikin da ya yi daidai da abin da ya faru da kuma labarin da ya dace. Aikin da ya yi ya yi jinkiri sosai a gare ni kuma wasu wurare suna kama da fim da aka yi don talabijin (waƙar cuku da kuma wasan kwaikwayo na musamman)...	positive
Godiya ga wannan, na yi farin ciki da shi, amma ni Nelson Orah ne na taka rawar Ahmed, ba Umar ba.	positive
Za ka so ka ga wannan fim ɗin, wannan fim ɗin yana da ban sha'awa sosai.	positive
Na yi farin ciki bayan na kalli fim din, komai ya kasance daidai. Na yi matukar burge ni da ingancin cast da crew. Daraktan, Kemi Adetiba ya yi aiki mai kyau kuma ina alfahari da ita. Na ba da shawarar ga mutane da yawa. Ina fatan in ga ƙarin aikinta.	positive
Genevieve Nnaji ta kafa takalminta a cikin ƙungiyar masu gudanarwa na gaske. Ba ta ɓace ba a cikin wasan farko, Lion Heart. Dole ne a gani, yayin da yake sanar da haihuwar Nollywood na duniya.	positive
Nollywood a kan ta fice!!!! . . . Wannan fim din ya ba da labarin al'adu, hadin kai da iyali.	positive
Wani fim ne mai kyau, wanda ya nuna hatsarin kabilanci na Najeriya da kuma yadda zai iya shafar soyayya.	positive
Wannan fim ɗin yana da kyau a cikin nau'in.	positive
Ina son wannan fim din. ... Na yi mamakin karanta mummunan bita ga wannan fim din. Shin da gaske mun san abin da fim mai kyau yake? Wannan fim din yana da kyau sosai, mai ban sha'awa sosai.	positive
Na ga wasan kwaikwayo a Houston Texas... wannan fim din ya kamata ya lashe lambar yabo ta Oscar. Labarin ya yi kyau sosai. 'Yan wasan sun kasance masu ban mamaki.	positive
Duk wanda yake son fasaha, wanda ya ga sashi na farko zai san cewa an riga an gina labarin da labarin da aka yi a dā kuma wannan ya biyo baya.	positive
Abin da ya faru ya yi kyau.	positive
Wannan fim ne mai kyau sosai kuma na musamman. Wasu mutane ba za su so shi ba domin sun saba da fina-finai na soyayya ko na ban tsoro ko kuma domin ba su saba da rayuwa tare da mota ba. Fim ɗin da suke nunawa da gaske ya nuna yadda abubuwa suke a rayuwar injiniyoyi, masu koyon aiki da abokan ciniki. Har ila yau, yana koya wa iyaye da yara darasi mai kyau. Fim ne mai bayyanawa da kyau.	positive
Wani fim ne mai ban mamaki, mai ban tsoro, mai ban mamaki, mai tarihi, wanda ya ƙunshi mutane da yawa, ba wani abu da ya ɓata.	positive
Babban ci gaba a cikin fim din... marubucin da darektan suna da basira sosai kuma suna da kirkire-kirkire.	positive
Na ji daɗin ganin wurare masu kyau a Legas, a kan babban ƙasa da tsibirin, da aka yi amfani da su, ba kamar sauran fina-finai da ke zama a wuri ɗaya ba. Legas wuri ne mai kyau don yin fim, musamman idan an yi amfani da bambancin jihar, kamar yadda aka gani a nan.	positive
Ina son kowane lokaci na fim din Ina fata ba zai ƙare ba	positive
Akinnuoye-Agbaje ya fara fara aikinsa a matsayin darektan ne wanda ya dogara da abubuwan da darektan suka samu a matsayin 'yar Najeriya mai fama' a Burtaniya a lokacin da ake fama da rashin jin daɗin 'yan kasashen waje a lokacin da 'yan Windrush suka zo. Fim din da aka fara gani da kuma jin daɗin fina-finai suna nuna yanayi da halayen da suka kasance masu raɗaɗi da gaske wanda mutum zai iya kamawa kawai daga fuskantar su. Saurin fim din a hanyoyi da yawa yana nuna wannan. Wani lokaci yana da alama ya ɗauki kusan mawuyacin hali wanda ke da ma'ana ta hanyar da ke ɗaukar tasirin wani wanda ke tunawa da rayuwarsu - wanda ya kunshi mahimman bayanai da abubuwan da suka faru - kodayake a wasu lokuta yana sa ya zama da wahala a kama da godiya da lokacin da ke kan iyakokin surrealists. Hanya mai ban sha'awa da ba za a iya ganowa ba ta dace da mutum ba.	positive
fim mai ban mamaki dole ne a gani	positive
Kyakkyawan jerin. Ina matukar son wannan wasan kwaikwayon. Duk haruffa suna da kyau kuma ina jin daɗin kallo. Ina fatan zai ci gaba da kasancewa a kusa da ƙarin yanayi. Ina fatan zuwa kakar wasa ta gaba!!!	positive
Yin aiki daga rubutun marubucin wasan kwaikwayo Darci Picoult, Dosunmu ya tsara labarin da yake da gaskiya, melodramatic da kuma al'adu na musamman (muna ciyar da lokaci mai yawa muna kallon riguna masu launi kamar yadda muke sha'awar fuskar Gurira), duk da haka ba tare da ɓata lokaci ba.	positive
Babban fim!	positive
Babu kalmomi da za su bayyana ikon wannan fim din da kuma tunatar da shi na yadda yake da sa'a ba a taba rayuwa ta hanyar yakin basasa ba. Labari mai ban mamaki na tarihin Najeriya na baya-bayan nan da kuma bil'adama a ciki.	positive
Kyakkyawan	positive
Bayani mai kyau na Igbos. . . . Zuciyar zaki ta wakilci abin da ainihin ma'anar kasancewa Igbo yake nufi - tsarin rayuwa mai aiki tuƙuru da kuma na al'umma.	positive
Akwai abubuwa da yawa da ke nuna rashin tausayi a nan da can kuma wasu abubuwa sun yi mini rashin fahimta amma a gaba ɗaya na ji daɗin abin da yake.	positive
Duk da yake jigogi a nan, ba shakka, suna da ban sha'awa na neorealism, masu shirya fina-finai ba su yi nunawa ga tarihin fim ba. Muryarsu ita ce nasu; kyamarar tana da hannu idan ya cancanta, amma har yanzu tana tsaye a mafi yawan lokuta, yana barin kyakkyawan wasan kwaikwayo ya gina halayen su yayin da abubuwan da suka faru na fim din suka gwada jimirinsu.	positive
Abin dariya Abin dariya ... oh mehn, wannan fim din yana da ban dariya sosai. idan kana neman fim don tada haushi to wannan fim din shine mafi dacewa a gare ka.	positive
Wannan fim ne mai ban mamaki, dole ne ya zama mafi kyawun fim da aka yi a Najeriya, ba tare da ambaton ban dariya ba!	positive
KYAUTAWA NA Afirka	positive
Ban san dalilin da ya sa mutane suka ba da irin wannan fim ɗin ba amma ka gaskata ni bayan dogon lokaci na kalli fim mai kyau, mai kyau, mai tsabta kuma mafi kyau fiye da Bollywood.	positive
Hoton wannan fim din yana da kyau, kuma darektan ya yi aiki mai kyau.	positive
Na ji daɗin yadda aka bayyana kowane muhimmin bayani da kuma yadda aka bayyana labarin sosai.	positive
Babban Mataki a sake dawo da labarinmu. . . . Wannan fim din, ya nuna wani ɓangare na gwagwarmayar mutanen da muke watsi da su sau da yawa. Yana da sauƙi a ga mutum ya yi hukunci, amma idan aka gaya maka irin waɗannan labaran za ka fara kallon kowa da kowa da wani ruwan tabarau. Ƙarshen, ko da yake ba zato ba tsammani, ya sa ka kasance cikin wani yanayi mai wuya kuma ya sa ka kasance cikin damuwa mai ƙarfi da ke yin bimbini a kan abin da ka gani.	positive
A kan shafin!!! 🔥🔥🔥. . Tabbas fim din Afirka na shekara, na ji daɗin kowane minti na 2hours 30minutes 😀👏👏👏🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥	positive
Wani labari mai ban mamaki game da dabi'un iyali daga wani ra'ayi mai ban mamaki.	positive
A karshe babban fim din Najeriya. Na shafe shekaru ina fatan cewa Najeriya za ta samar da babban fim, kuma a nan ne 'yan uwan Esiri suka shigo.	positive
Gaskiya ne, wannan fim ɗin yana da kyau sosai, kuma yana da kyau sosai, kuma yana da kyau sosai.	positive
Ba a taɓa samun minti biyar a cikin wannan fim din ba tare da wani abin dariya ko dariya ba. Ba na tsammanin akwai wani fim din Najeriya da ya fi wannan a cikin nau'insa (Fictional Comedy).	positive
