yor_Latn	sentiment
Àkọlé nípa ìtàn tó ń múni ronú jinlẹ̀ yìí ń mú ká rántí pé ní Nàìjíríà, bí nǹkan ṣe ń yí pa dà, bẹ́ẹ̀ ni ìwà wọn á túbọ̀ máa burú sí i.	positive
Ó gba ìsapá àti ìwádìí tó pọ̀ gan-an láti ṣe èyí, ó sì jẹ́ pé ó rọrùn láti fi hàn pé ó dára gan-an, ó sì ṣe kedere pé ó ṣe kedere.	positive
àwọn èèyàn mi ní abúlé ni fíìmù kan tí wàá fi pàdánù ìdánilẹ́kọ̀ọ́ ilé rẹ nígbà tó o bá ń wo rẹ̀. ṣùgbọ́n ó jẹ́ ìwádìí kan. nollywood ní àpapọ̀ kò ṣe iṣẹ́ tó dára nínú sísọ ohun tí ó léwu àti ohun tó ń wu àwọn èèyàn. àwọn ènìyàn mi ní abúlé ṣe é láìṣe ìsapá, ó sì yẹ fún ìyìn tó pọ̀.	positive
Ìtàn náà kò sí ohun tá a kò tíì rí rí rí, ṣùgbọ́n ó sọ láti ojú ìwòye Nàìjíríà, ó jẹ́ ohun tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é, tó sì ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é lọ́nà tó ń ṣe é, ó sì ń ṣe é lọ́nà tó dára gan - an tá a bá fi wé àwọn míì tó wà níjà Nàìjíríà. . . . mo gbádùn fíìmù náà gan - an, màá sì ròyìn ọ́n pé mo lè ṣe é (lá àwọn ọmọ Naija mi!).	positive
Ọ̀rúndún ogún, àwọn ọ̀tẹ̀múyẹ́ tó ń lo oògùn olóró, àwọn obìnrin dúdú tó rẹwà... mo wà ní ọ̀run	positive
Ó ṣeé ṣe kó jẹ́ pé ó ń ṣe dáadáa, àmọ́ ó ń ṣe dáadáa, ó sì ń ṣe dáadáa, ó sì ń gbé ìṣẹ̀lẹ̀ tó ṣẹlẹ̀ gan-an ró, ó sì ń sọ ìtàn tó dáa.	positive
Ìdáhùn... ẹ̀mí ìmoore, mo ní inú dídùn sí i, ṣùgbọ́n èmi ni Nelson Orah ṣe ojúṣe Ahmed, kì í ṣe Umar.	positive
O fẹ́ wo fíìmù yìí, fíìmù yìí dùn gan-an, fíìmù Nollywood tó ní ìmọnújẹ́.	positive
mo láyọ̀ gan-an lẹ́yìn tí mo ti wo fíìmù náà, ohun gbogbo wà ní pàtó. mo ní ìfaradà gan-an nípa ìwà rere àwọn tó ń ṣe eré náà àti àwọn tó ń ṣe eré náà. olùdarí náà, kemí adetiba ṣe iṣẹ́ ńlá kan, mo sì ń gbóríyìn fún un gan-an. mo ti ṣeduro rẹ̀ fún ọ̀pọ̀ èèyàn. mo ń retí láti wo iṣẹ́ rẹ̀ sí i.	positive
Genevieve Nnaji tẹ ẹsẹ̀ rẹ̀ ní pàǹtírí nínú panteoni ti àwọn olùdarí gidi. O ko ni ibanujẹ pẹlu rẹ débẹ̀rẹ̀, Lion Heart. O jẹ ohun ti o gbọdọ wo, bi o ti kede ibimọ ti a Nollywood kariaye.	positive
